index_id,id,news_url,title,tweet_ids,Y,category,
249,politifact6652,,Obama administration opens the door for states to seek major changes in welfaretowork law,2.23884E+17,real,politifact,
5524,gossipcop-938932,https://gossipnewspoint.com/jasmine-tookes-says-this-product-is-the-secret-to-the-perfect-selfie/,Jasmine Tookes Says This Product Is the Secret to the Perfect Selfie,"1001072888651403266	1001073288682946560	1001073915219849216	1001074475285311488	1001074638150086657	1001074731171409920	1001075154137448450	1001076355847483392	1001076479021731840	1001076478753361925	1001077419334361088	1001077938115301376	1001078125151703041	1001078166381875200	1001078522985795584	1001078595295510529	1001079218829185024	1001079239624527872	1001079956225523712	1001080168457408512	1001080297323159552	1001080460745822208	1001080687989088262	1001082252137295872	1001082424003088387	1001082702521683969	1001083151202975747	1001083312822214657	1001083726007357441	1001084042656321539	1001084564964552705	1001085890460958726	1001089625295917056	1001090534515994626	1001094855743991809	1001095606482456576	1001095818865098752	1001095869100421121	1001100318430650370	1001100765019095040	1001106116414189568	1001123802514907137	1001124138222804992	1001124306959716352	1001124340551831552	1001124650099859456	1001125791034429440	1001126330166104064	1001126845365047296	1001127496182652929	1001127675275218945	1001127819907387393	1001127849116553217	1001127878162046977	1001128028196532225	1001128445370388480	1001128750187270146	1001128779480293376	1001129295543197696	1001129318242766848	1001129538963767298	1001129625794351106	1001129770086748160	1001130087746560001	1001130213194063872	1001130303019208709	1001132066958954497	1001132589682511873	1001132789385883649	1001134862160588800	1001145058471505922	1001172716664295426	1001172845777555456	1001172852979138565	1001172857790128128	1001172855164370944	1001172882100277248	1001173029056106503	1001173026417905664	1001173049172021249	1001173086429958144	1001173094030036993	1001173102292819968	1001173123746664448	1001173163592617984	1001173281121165312	1001173292525305856	1001173339946323975	1001173369054785537	1001173465179873280	1001173526408200192	1001173550047297538	1001173557978828800	1001173572910501889	1001173582897139712	1001173607706517507	1001173716246716416	1001173907796320259	1001256300716621825	1001307576938696704	1001913135186489344	1001920480876679169	1001926223281442818	1001930249519722499	1001936427188391937	1001938831212470272	1001938868831125504	1001972789828612097	1002000711096393728	1002077216451293185	1005211647294701568",real,gossipcop,
1124,gossipcop-4955672121,www.etonline.com/jennifer-garner-stays-warm-with-intense-over-sized-scarf-see-the-pic-100639,Jennifer Garner Stays Warm With Intense Over-Sized Scarf -- See the Pic!,"33715460520288256	33716011261759488	33716246704816128	33716246444773376	244337984361594880	244340187012923392	244440506065616896	852882180493647872	852883765940695041	852964098937696257	852982168410361856	853019294975877120	853025088404434944	853261665902768128	964092118573768704	976218251524009984	976218269173600256	976432543099695105	997028978404810753",fake,gossipcop,
7082,gossipcop-866973,http://www.xskbx.co/35/game-of-thrones-season-7-will-a-disheartened-sansa-stark-get-the-iron-throne.html,Game of Thrones Season 7: Will a Disheartened Sansa Stark Get the Iron Throne? â€?XSK,"885897497448771585	885897662582673408	885897705242988544	885897717582635008	885898393364697090	885899379730677760	885899444432105472	885899466733228032	885899715564494848	885900226938130433	885900235997822977	885900251185295360	885900759103152128	885901087663947778	885901593861861376	885901838847025152	885902531347525637	885903085536759810	885903381142884355	885903388575248384	885903394203992064	885906809873022977	885911482067636224	885917507529220096	885921933962989568	885922872899665920	885938822751690752	885945371691806720	885949007100604417	885956635226722304	886224451972587522	886224920258248705	886399993363316736",real,gossipcop,
7628,gossipcop-897220,https://www.bbc.com/news/entertainment-arts-42164798,Meghan Markle was written out of Suits a year ago,"936255675713257472	936255813752184832	936256023379181568	936256310957563905	936256508492374016	936257615834828801	936258322352738304	936258797604978688	936258874369363969	936258886675427328	936259342524874753	936262818470359040	936263736700129281	936265244493729794	936265765723897856	936265946150391810	936266587895500801	936270287854694401	936273631440658434	936999075425148928",real,gossipcop,
9821,gossipcop-946228,https://liveindex.co.uk/celebrities/how-rihanna-enhances-her-best-assets-and-how-you-can-too-2/,"How Rihanna Enhances Her Best Assetsâ€“and How You Can, Too","1009971517621334016	1009971521291513856	1009971740305436672	1009972305504718848	1009972426925576192	1009973064006819845	1009973761062268933	1009974397598175234	1009975145094451200	1009976057473224704	1009977556752392192	1009981483459547136	1009988794588655616	1009990121402372096	1009994425076875264	1009995526631313408	1010001554366083072	1010016502551011328	1010018505293352961	1010024121525141505	1010024390094774274	1010024398152060928	1010024402434445312	1010024408637890560	1010024462769483778	1010024469266460672	1010024625646927872	1010024784925605889	1010024905197301761	1010024960666959873	1010024980841578497	1010024979419680769	1010025075431501824	1010025076077412354	1010025110525259777	1010025115432566784	1010025131626848256	1010025163516043264	1010025295833792513	1010025311113654272	1010025319917481984	1010025369112473603	1010025374657310721	1010025377664663552	1010025383872192514	1010025434312929280	1010025730699218945	1010036808053284866	1010042264037482496	1010049322497372160	1010050723554344960	1010054204197568514	1010055200860667905	1010055648527208448	1010056168830570496	1010057272603508736	1010073763474440192	1010076067355168768	1010102336302219264	1010136128488263681	1010269187045056512	1010325694654697473	1010492774473494528	1010948115141046272	1011373481512951808	1011718307290812416	1012727574525566976	1012727581987262470	1020183927925944320",real,gossipcop,
8361,gossipcop-856717,http://celebrityinsider.org/luis-fonsi-promises-to-party-after-the-performance-of-despacito-on-the-voice-finale-40041/,Luis Fonsi Promises To Party After The Performance Of â€˜Despacitoâ€?On The Voice Finale,"867298657426591745	867298676720324614	867298705854025729	867298710203629568	867298719435112448	867299272605261824	867299581180092416	867299663073820672	867299670762045441	867299736927252481	867300123520507904	867300567235928064	867300626451095552	867301242745257984	867301286454099968	867301305609486336	867301535121903616	867302698198216704	867302795170291713	867302951437479936	867302950812524546	867302953383714816	867302952486227968	867302995817398272	867303004847788032	867303019129393152	867303032526077953	867303427696611328	867303493647904768	867304027595444225	867304144108912640	867304583370084352	867304858793259010	867304858336067584	867304925444919296	867305001672167425	867305068680368128	867305081603072004	867305225924755456	867305322905571328	867305465734078469	867305470708432897	867305488584646657	867305486432952320	867305485103267841	867305973420916737	867306932075417601	867308144808079360	867312160447365124	867312469462704128	867312548219166720	867315270867492864	867315280287944704	867315301796397056	867315328811806721	867315324911198209	867315337242357760	867315338781655040	867321451468029952	867324646185734147	867333942906679297	867334000276377601	867334009944231936	867336930047873024	867343503952629760	867400135520772097	867400605769367552	867400812749869056	867492888661426176	867709824947036160	867832670599999489	868240360811757568",real,gossipcop,
8625,gossipcop-897837,https://www.bbc.com/news/entertainment-arts-42220913,Sir Elton John 'in shock' after his mother dies aged 92,9.37745E+17,real,gossipcop,
665,gossipcop-852304,https://rare.us/people/bristol-palin-meyer-shared-a-few-updates-on-her-life-as-a-wife-and-mom-of-three-in-a-new-post-to-fans/,Bristol Palin Meyer shared a few updates on her life as a wife and mom of three in a new post to fans,"864234041003954177	864234243282657283	864234256494546945	864234329689411584	864234776470880256	864235048769212416	864236734292164608	864236737270173696	864236750524121090	864236872175947777	864238738846564352	864238763295121408	864238761667837952	864238773952958464	864240853732265984	864241252346191872	864248656093822976	864248950387167232	864324348462714882",real,gossipcop,
9687,gossipcop-876955,https://www.usatoday.com/story/life/2017/08/30/how-princess-diana-aggravated-but-also-changed-royal-family-forever/539706001/,How Princess Diana aggravated but also changed the royal family forever,"903199087301939201	903199475317039104	903201219501584384	903201585278234624	903201597223612416	903202599859613696	903202979322380288	903203408869556224	903204004246650880	903204010169057281	903206242134274048	903207122812461057	903207143503003648	903207763890757632	903207768152195072	903210891788914688	903210985674199041	903211821083054080	903212953620680704	903218295678971904	903218333838802944	903218333562028032	903223632154865664	903227236014272513	903233086934147072	903234201981296640	903239365819695105	903242185881026562	903250552372342784	903270388876140544	903385628158685186	903426455169888257",real,gossipcop,
